"Gene","Tissue","Group"
"Slc39a1","Microglia","Group enriched"
"Slc39a1","Endothelial Cells","Group enriched"
"Slc39a1","Oligodendrocyte Precursor Cell","Group enriched"
"Slc39a1","Astrocytes","Group enriched"
"Slc39a1","Newly Formed Oligodendrocyte","Group enriched"
"Slc39a1","Myelinating Oligodendrocytes","Group enriched"
"Ptafr","Microglia","Tissue enriched"
"Cxcl16","Microglia","Tissue enriched"
"Tgif1","Microglia","Group enriched"
"Tgif1","Endothelial Cells","Group enriched"
"Hist1h1c","Microglia","Group enriched"
"Hist1h1c","Myelinating Oligodendrocytes","Group enriched"
"Hist1h1c","Newly Formed Oligodendrocyte","Group enriched"
"Hist1h1c","Astrocytes","Group enriched"
"Hist1h1c","Endothelial Cells","Group enriched"
"Fam46c","Microglia","Tissue enriched"
"Mfng","Microglia","Group enriched"
"Mfng","Endothelial Cells","Group enriched"
"Snta1","Microglia","Group enriched"
"Snta1","Astrocytes","Group enriched"
"Fmnl3","Microglia","Group enriched"
"Fmnl3","Endothelial Cells","Group enriched"
"Gngt2","Microglia","Tissue enriched"
"B4galt1","Microglia","Group enriched"
"B4galt1","Endothelial Cells","Group enriched"
"Osgin1","Microglia","Group enriched"
"Osgin1","Endothelial Cells","Group enriched"
"Ccl12","Microglia","Tissue enriched"
"Tnfrsf1b","Microglia","Tissue enriched"
"Cryl1","Microglia","Group enriched"
"Cryl1","Oligodendrocyte Precursor Cell","Group enriched"
"Fmnl1","Microglia","Tissue enriched"
"Nrgn","Microglia","Group enriched"
"Nrgn","Myelinating Oligodendrocytes","Group enriched"
"Nrgn","Oligodendrocyte Precursor Cell","Group enriched"
"Nrgn","Neuron","Group enriched"
"Plxdc2","Microglia","Tissue enriched"
"Prex1","Microglia","Group enriched"
"Prex1","Astrocytes","Group enriched"
"Prex1","Oligodendrocyte Precursor Cell","Group enriched"
"Prex1","Newly Formed Oligodendrocyte","Group enriched"
"Prex1","Myelinating Oligodendrocytes","Group enriched"
"Prex1","Endothelial Cells","Group enriched"
"Man2b2","Microglia","Tissue enriched"
"Sqrdl","Microglia","Group enriched"
"Sqrdl","Endothelial Cells","Group enriched"
"Zc3h12a","Microglia","Tissue enriched"
"Map2k3","Microglia","Group enriched"
"Map2k3","Endothelial Cells","Group enriched"
"Pf4","Microglia","Tissue enriched"
"Sla","Microglia","Tissue enriched"
"Rab20","Microglia","Tissue enriched"
"Rasal3","Microglia","Tissue enriched"
"Sema4d","Newly Formed Oligodendrocyte","Group enriched"
"Sema4d","Myelinating Oligodendrocytes","Group enriched"
"Sema4d","Microglia","Group enriched"
"Rhoc","Endothelial Cells","Tissue enriched"
"F630110N24Rik","Microglia","Tissue enriched"
"Wasf2","Microglia","Group enriched"
"Wasf2","Endothelial Cells","Group enriched"
"Lipa","Endothelial Cells","Group enriched"
"Lipa","Microglia","Group enriched"
"Icosl","Microglia","Tissue enriched"
"Tlr9","Microglia","Tissue enriched"
"Ecscr","Endothelial Cells","Group enriched"
"Ecscr","Microglia","Group enriched"
"Scamp5","Myelinating Oligodendrocytes","Group enriched"
"Scamp5","Oligodendrocyte Precursor Cell","Group enriched"
"Scamp5","Newly Formed Oligodendrocyte","Group enriched"
"Scamp5","Neuron","Group enriched"
"Scamp5","Microglia","Group enriched"
"Scamp5","Astrocytes","Group enriched"
"Tgfbr1","Microglia","Group enriched"
"Tgfbr1","Oligodendrocyte Precursor Cell","Group enriched"
"Capn3","Microglia","Tissue enriched"
"Ifi30","Microglia","Tissue enriched"
"Ivns1abp","Microglia","Group enriched"
"Ivns1abp","Oligodendrocyte Precursor Cell","Group enriched"
"Ivns1abp","Endothelial Cells","Group enriched"
"Ivns1abp","Neuron","Group enriched"
"Ivns1abp","Astrocytes","Group enriched"
"Ivns1abp","Newly Formed Oligodendrocyte","Group enriched"
"Pfkfb3","Microglia","Group enriched"
"Pfkfb3","Astrocytes","Group enriched"
"Rac2","Microglia","Tissue enriched"
"Slc35c2","Microglia","Tissue enriched"
"Cd180","Microglia","Tissue enriched"
"Arhgap25","Microglia","Group enriched"
"Arhgap25","Endothelial Cells","Group enriched"
"Ntpcr","Microglia","Tissue enriched"
"Fam105a","Microglia","Tissue enriched"
"Pnrc1","Endothelial Cells","Group enriched"
"Pnrc1","Astrocytes","Group enriched"
"Pnrc1","Microglia","Group enriched"
"Pnrc1","Neuron","Group enriched"
"Pnrc1","Oligodendrocyte Precursor Cell","Group enriched"
"Nfkbie","Microglia","Tissue enriched"
"1700017B05Rik","Microglia","Tissue enriched"
"Snx8","Microglia","Tissue enriched"
"Dtx4","Microglia","Group enriched"
"Dtx4","Astrocytes","Group enriched"
"Nfam1","Microglia","Tissue enriched"
"Fes","Microglia","Tissue enriched"
"Tlr7","Microglia","Tissue enriched"
"Gm2a","Oligodendrocyte Precursor Cell","Group enriched"
"Gm2a","Newly Formed Oligodendrocyte","Group enriched"
"Gm2a","Microglia","Group enriched"
"Gm2a","Astrocytes","Group enriched"
"Srxn1","Microglia","Tissue enriched"
"Stat6","Microglia","Group enriched"
"Stat6","Endothelial Cells","Group enriched"
"Hbegf","Microglia","Group enriched"
"Hbegf","Endothelial Cells","Group enriched"
"Hbegf","Astrocytes","Group enriched"
"Hbegf","Oligodendrocyte Precursor Cell","Group enriched"
"Pdlim4","Microglia","Group enriched"
"Pdlim4","Astrocytes","Group enriched"
"Arl8a","Newly Formed Oligodendrocyte","Group enriched"
"Arl8a","Neuron","Group enriched"
"Arl8a","Myelinating Oligodendrocytes","Group enriched"
"Arl8a","Oligodendrocyte Precursor Cell","Group enriched"
"Arl8a","Astrocytes","Group enriched"
"Arl8a","Microglia","Group enriched"
"2310016C08Rik","Endothelial Cells","Group enriched"
"2310016C08Rik","Microglia","Group enriched"
"Edem1","Microglia","Tissue enriched"
"Slc25a45","Microglia","Tissue enriched"
"Lmo2","Endothelial Cells","Group enriched"
"Lmo2","Microglia","Group enriched"
"Renbp","Microglia","Tissue enriched"
"Ncf4","Microglia","Tissue enriched"
"Chst12","Microglia","Tissue enriched"
"Cryba4","Microglia","Tissue enriched"
"Gsdmd","Microglia","Tissue enriched"
"Lyl1","Microglia","Tissue enriched"
"Srgn","Endothelial Cells","Group enriched"
"Srgn","Microglia","Group enriched"
"Dnase2a","Microglia","Tissue enriched"
"Nfkb2","Microglia","Group enriched"
"Nfkb2","Endothelial Cells","Group enriched"
