"Gene","Tissue","Group"
"Pld2","Newly Formed Oligodendrocyte","Group enriched"
"Rreb1","Astrocytes","Group enriched"
"Rreb1","Microglia","Group enriched"
"Rreb1","Endothelial Cells","Group enriched"
"Specc1","Newly Formed Oligodendrocyte","Group enriched"
"Specc1","Astrocytes","Group enriched"
"Specc1","Myelinating Oligodendrocytes","Group enriched"
"Specc1","Oligodendrocyte Precursor Cell","Group enriched"
"Specc1","Microglia","Group enriched"
"Txndc11","Astrocytes","Group enriched"
"Txndc11","Endothelial Cells","Group enriched"
"Txndc11","Oligodendrocyte Precursor Cell","Group enriched"
"Txndc11","Neuron","Group enriched"
"Txndc11","Microglia","Group enriched"
"Txndc11","Newly Formed Oligodendrocyte","Group enriched"
"Dnm1","Neuron","Tissue enriched"
"Zcchc24","Oligodendrocyte Precursor Cell","Group enriched"
"Zcchc24","Astrocytes","Group enriched"
"Zcchc24","Myelinating Oligodendrocytes","Group enriched"
"Zcchc24","Newly Formed Oligodendrocyte","Group enriched"
"Chchd10","Neuron","Group enriched"
"Chchd10","Astrocytes","Group enriched"
"Chchd10","Oligodendrocyte Precursor Cell","Group enriched"
"Chchd10","Myelinating Oligodendrocytes","Group enriched"
"Chchd10","Microglia","Group enriched"
"Lpar6","Endothelial Cells","Group enriched"
"Lpar6","Microglia","Group enriched"
"Lpar6","Astrocytes","Group enriched"
"Ptprc","Microglia","Group enriched"
"Ptprc","Oligodendrocyte Precursor Cell","Group enriched"
"Slc35c1","Microglia","Group enriched"
"Slc35c1","Newly Formed Oligodendrocyte","Group enriched"
"Slc35c1","Astrocytes","Group enriched"
"Slc35c1","Oligodendrocyte Precursor Cell","Group enriched"
"Slc35c1","Myelinating Oligodendrocytes","Group enriched"
"Slc35c1","Neuron","Group enriched"
"6330512M04Rik","Microglia","Group enriched"
"6330512M04Rik","Oligodendrocyte Precursor Cell","Group enriched"
"Gabbr1","Astrocytes","Group enriched"
"Gabbr1","Neuron","Group enriched"
"Gabbr1","Oligodendrocyte Precursor Cell","Group enriched"
"Tlr12","Microglia","Group enriched"
"Tlr12","Endothelial Cells","Group enriched"
"Zdhhc14","Newly Formed Oligodendrocyte","Group enriched"
"Zdhhc14","Oligodendrocyte Precursor Cell","Group enriched"
"Zdhhc14","Myelinating Oligodendrocytes","Group enriched"
"Zdhhc14","Microglia","Group enriched"
"Tmem63b","Newly Formed Oligodendrocyte","Group enriched"
"Tmem63b","Myelinating Oligodendrocytes","Group enriched"
"Tmem63b","Oligodendrocyte Precursor Cell","Group enriched"
"Tmem63b","Astrocytes","Group enriched"
"Tmem63b","Neuron","Group enriched"
"Clec4a1","Microglia","Tissue enriched"
"Cck","Neuron","Tissue enriched"
"Speg","Neuron","Group enriched"
"Speg","Astrocytes","Group enriched"
"Speg","Microglia","Group enriched"
"Speg","Oligodendrocyte Precursor Cell","Group enriched"
"Speg","Myelinating Oligodendrocytes","Group enriched"
"Speg","Newly Formed Oligodendrocyte","Group enriched"
"Gm7694","Microglia","Group enriched"
"Gm7694","Astrocytes","Group enriched"
"Gm7694","Oligodendrocyte Precursor Cell","Group enriched"
"Adssl1","Myelinating Oligodendrocytes","Group enriched"
"Adssl1","Newly Formed Oligodendrocyte","Group enriched"
"Ctbp2","Astrocytes","Group enriched"
"Ctbp2","Endothelial Cells","Group enriched"
"Ctbp2","Oligodendrocyte Precursor Cell","Group enriched"
"Ctbp2","Neuron","Group enriched"
"Ctbp2","Microglia","Group enriched"
"Rab15","Oligodendrocyte Precursor Cell","Group enriched"
"Rab15","Neuron","Group enriched"
"Rab15","Microglia","Group enriched"
"Rab15","Myelinating Oligodendrocytes","Group enriched"
"Rab15","Newly Formed Oligodendrocyte","Group enriched"
"Stk17b","Astrocytes","Group enriched"
"Stk17b","Endothelial Cells","Group enriched"
"Stk17b","Oligodendrocyte Precursor Cell","Group enriched"
"Stk17b","Microglia","Group enriched"
"Sept8","Oligodendrocyte Precursor Cell","Group enriched"
"Sept8","Myelinating Oligodendrocytes","Group enriched"
"Sept8","Newly Formed Oligodendrocyte","Group enriched"
"Sept8","Astrocytes","Group enriched"
"Tmem140","Microglia","Group enriched"
"Tmem140","Endothelial Cells","Group enriched"
"Xlr","Microglia","Group enriched"
"Xlr","Endothelial Cells","Group enriched"
"Dock4","Newly Formed Oligodendrocyte","Group enriched"
"Dock4","Endothelial Cells","Group enriched"
"Dock4","Astrocytes","Group enriched"
"Dock4","Oligodendrocyte Precursor Cell","Group enriched"
"Dock4","Microglia","Group enriched"
"Lrba","Microglia","Group enriched"
"Lrba","Endothelial Cells","Group enriched"
"Lrba","Oligodendrocyte Precursor Cell","Group enriched"
"Lrba","Astrocytes","Group enriched"
"Lrba","Newly Formed Oligodendrocyte","Group enriched"
"Lrba","Neuron","Group enriched"
"Ezr","Astrocytes","Tissue enriched"
"Fam175b","Astrocytes","Group enriched"
"Fam175b","Microglia","Group enriched"
"Fam175b","Oligodendrocyte Precursor Cell","Group enriched"
"Fam175b","Neuron","Group enriched"
"Fam175b","Endothelial Cells","Group enriched"
"Fam175b","Newly Formed Oligodendrocyte","Group enriched"
"Tppp","Newly Formed Oligodendrocyte","Group enriched"
"Tppp","Myelinating Oligodendrocytes","Group enriched"
"Ticam2","Microglia","Tissue enriched"
"Tle4","Astrocytes","Group enriched"
"Tle4","Neuron","Group enriched"
"Tle4","Oligodendrocyte Precursor Cell","Group enriched"
"Tle4","Newly Formed Oligodendrocyte","Group enriched"
"Tle4","Microglia","Group enriched"
"Tle4","Endothelial Cells","Group enriched"
"C1qtnf4","Neuron","Group enriched"
"C1qtnf4","Oligodendrocyte Precursor Cell","Group enriched"
"Chst11","Oligodendrocyte Precursor Cell","Group enriched"
"Chst11","Astrocytes","Group enriched"
"Chst11","Endothelial Cells","Group enriched"
"Chst11","Newly Formed Oligodendrocyte","Group enriched"
"Mmd2","Astrocytes","Group enriched"
"Mmd2","Oligodendrocyte Precursor Cell","Group enriched"
"Mmd2","Newly Formed Oligodendrocyte","Group enriched"
"Mmd2","Myelinating Oligodendrocytes","Group enriched"
"Lrp12","Neuron","Group enriched"
"Lrp12","Newly Formed Oligodendrocyte","Group enriched"
"Lrp12","Oligodendrocyte Precursor Cell","Group enriched"
"Lrp12","Myelinating Oligodendrocytes","Group enriched"
"Lrp12","Microglia","Group enriched"
"Lrp12","Astrocytes","Group enriched"
"Tagln3","Neuron","Group enriched"
"Tagln3","Astrocytes","Group enriched"
"Tagln3","Oligodendrocyte Precursor Cell","Group enriched"
"Nrp1","Endothelial Cells","Tissue enriched"
"Cox6a2","Microglia","Tissue enriched"
"6030468B19Rik","Microglia","Tissue enriched"
"Tnfrsf11a","Microglia","Tissue enriched"
"Sept7","Newly Formed Oligodendrocyte","Group enriched"
"Sept7","Oligodendrocyte Precursor Cell","Group enriched"
"Sept7","Myelinating Oligodendrocytes","Group enriched"
"Sept7","Astrocytes","Group enriched"
"Sept7","Endothelial Cells","Group enriched"
"Sept7","Neuron","Group enriched"
"Plac8","Microglia","Tissue enriched"
"Cplx2","Neuron","Tissue enriched"
"Zbtb2","Astrocytes","Group enriched"
"Zbtb2","Endothelial Cells","Group enriched"
"Zbtb2","Newly Formed Oligodendrocyte","Group enriched"
"Zbtb2","Microglia","Group enriched"
"Zbtb2","Neuron","Group enriched"
"Zbtb2","Oligodendrocyte Precursor Cell","Group enriched"
"Cd48","Microglia","Tissue enriched"
"Irgm1","Microglia","Group enriched"
"Irgm1","Endothelial Cells","Group enriched"
"Irgm1","Astrocytes","Group enriched"
"Irgm1","Oligodendrocyte Precursor Cell","Group enriched"
"Jam3","Newly Formed Oligodendrocyte","Group enriched"
"Jam3","Myelinating Oligodendrocytes","Group enriched"
"Jam3","Oligodendrocyte Precursor Cell","Group enriched"
"Unc13d","Microglia","Tissue enriched"
"Galnt6","Myelinating Oligodendrocytes","Group enriched"
"Galnt6","Newly Formed Oligodendrocyte","Group enriched"
"Galnt6","Microglia","Group enriched"
"Trp53i13","Endothelial Cells","Group enriched"
"Trp53i13","Astrocytes","Group enriched"
"Trp53i13","Microglia","Group enriched"
"Trp53i13","Oligodendrocyte Precursor Cell","Group enriched"
"Trp53i13","Myelinating Oligodendrocytes","Group enriched"
"Trp53i13","Neuron","Group enriched"
"Ccl19","Endothelial Cells","Tissue enriched"
"Ece2","Oligodendrocyte Precursor Cell","Group enriched"
"Ece2","Neuron","Group enriched"
"Ece2","Endothelial Cells","Group enriched"
"Ece2","Microglia","Group enriched"
"Ece2","Newly Formed Oligodendrocyte","Group enriched"
"Ece2","Astrocytes","Group enriched"
"Bco2","Microglia","Group enriched"
"Bco2","Astrocytes","Group enriched"
"Bco2","Oligodendrocyte Precursor Cell","Group enriched"
"Tradd","Microglia","Group enriched"
"Tradd","Newly Formed Oligodendrocyte","Group enriched"
"Tradd","Myelinating Oligodendrocytes","Group enriched"
"Tradd","Endothelial Cells","Group enriched"
"Tradd","Oligodendrocyte Precursor Cell","Group enriched"
"Gfap","Astrocytes","Tissue enriched"
"S1pr1","Astrocytes","Group enriched"
"S1pr1","Endothelial Cells","Group enriched"
"Apoc1","Microglia","Group enriched"
"Apoc1","Astrocytes","Group enriched"
"Taf1d","Endothelial Cells","Group enriched"
"Taf1d","Astrocytes","Group enriched"
"Taf1d","Neuron","Group enriched"
"Taf1d","Oligodendrocyte Precursor Cell","Group enriched"
"Taf1d","Newly Formed Oligodendrocyte","Group enriched"
"Taf1d","Microglia","Group enriched"
"Retnlg","Microglia","Tissue enriched"
"Arc","Neuron","Group enriched"
"Arc","Myelinating Oligodendrocytes","Group enriched"
"Arc","Astrocytes","Group enriched"
"Arc","Newly Formed Oligodendrocyte","Group enriched"
"Arc","Microglia","Group enriched"
"Arc","Oligodendrocyte Precursor Cell","Group enriched"
"Gm962","Microglia","Tissue enriched"
"Ggcx","Astrocytes","Group enriched"
"Ggcx","Oligodendrocyte Precursor Cell","Group enriched"
"Ggcx","Microglia","Group enriched"
"Ggcx","Newly Formed Oligodendrocyte","Group enriched"
"Ggcx","Neuron","Group enriched"
"Ggcx","Endothelial Cells","Group enriched"
"Tmsb10","Endothelial Cells","Group enriched"
"Tmsb10","Neuron","Group enriched"
"Traf3ip3","Microglia","Tissue enriched"
"Rdx","Newly Formed Oligodendrocyte","Group enriched"
"Rdx","Oligodendrocyte Precursor Cell","Group enriched"
"Rdx","Astrocytes","Group enriched"
"Rdx","Myelinating Oligodendrocytes","Group enriched"
"Rdx","Endothelial Cells","Group enriched"
"Rdx","Neuron","Group enriched"
"Sgsh","Microglia","Group enriched"
"Sgsh","Newly Formed Oligodendrocyte","Group enriched"
"Sgsh","Myelinating Oligodendrocytes","Group enriched"
"Sgsh","Endothelial Cells","Group enriched"
"Sgsh","Astrocytes","Group enriched"
"Sgsh","Oligodendrocyte Precursor Cell","Group enriched"
"Luc7l3","Astrocytes","Group enriched"
"Luc7l3","Neuron","Group enriched"
"Luc7l3","Oligodendrocyte Precursor Cell","Group enriched"
"Luc7l3","Newly Formed Oligodendrocyte","Group enriched"
"Nsmaf","Astrocytes","Group enriched"
"Nsmaf","Oligodendrocyte Precursor Cell","Group enriched"
"Nsmaf","Endothelial Cells","Group enriched"
"Nsmaf","Newly Formed Oligodendrocyte","Group enriched"
"Nsmaf","Microglia","Group enriched"
"Nsmaf","Neuron","Group enriched"
"Npdc1","Neuron","Group enriched"
"Npdc1","Oligodendrocyte Precursor Cell","Group enriched"
"Npdc1","Newly Formed Oligodendrocyte","Group enriched"
"Npdc1","Myelinating Oligodendrocytes","Group enriched"
"Npdc1","Astrocytes","Group enriched"
"Npdc1","Endothelial Cells","Group enriched"
"Abca2","Myelinating Oligodendrocytes","Group enriched"
"Abca2","Newly Formed Oligodendrocyte","Group enriched"
"Hivep3","Microglia","Group enriched"
"Hivep3","Neuron","Group enriched"
"Heatr1","Microglia","Group enriched"
"Heatr1","Astrocytes","Group enriched"
"Heatr1","Oligodendrocyte Precursor Cell","Group enriched"
"Heatr1","Newly Formed Oligodendrocyte","Group enriched"
"Heatr1","Endothelial Cells","Group enriched"
"Heatr1","Neuron","Group enriched"
"Cmtm8","Endothelial Cells","Group enriched"
"Cmtm8","Microglia","Group enriched"
"Fam26f","Microglia","Tissue enriched"
"Agrn","Endothelial Cells","Group enriched"
"Agrn","Astrocytes","Group enriched"
"Agrn","Neuron","Group enriched"
"Agrn","Oligodendrocyte Precursor Cell","Group enriched"
"Agrn","Newly Formed Oligodendrocyte","Group enriched"
"Tlr1","Microglia","Tissue enriched"
"Vtn","Endothelial Cells","Group enriched"
"Vtn","Oligodendrocyte Precursor Cell","Group enriched"
"A630001G21Rik","Microglia","Tissue enriched"
"Nipal3","Newly Formed Oligodendrocyte","Group enriched"
"Nipal3","Endothelial Cells","Group enriched"
"Nipal3","Oligodendrocyte Precursor Cell","Group enriched"
"Nipal3","Neuron","Group enriched"
"Nipal3","Myelinating Oligodendrocytes","Group enriched"
"Nipal3","Microglia","Group enriched"
"Igsf6","Microglia","Tissue enriched"
"Nat8l","Oligodendrocyte Precursor Cell","Group enriched"
"Nat8l","Astrocytes","Group enriched"
"Nat8l","Neuron","Group enriched"
"Nat8l","Microglia","Group enriched"
"Nat8l","Newly Formed Oligodendrocyte","Group enriched"
"Nat8l","Myelinating Oligodendrocytes","Group enriched"
"Camk2g","Astrocytes","Group enriched"
"Camk2g","Neuron","Group enriched"
"Camk2g","Oligodendrocyte Precursor Cell","Group enriched"
"Casp6","Endothelial Cells","Tissue enriched"
"Exosc3","Endothelial Cells","Group enriched"
"Exosc3","Astrocytes","Group enriched"
"Exosc3","Microglia","Group enriched"
"Exosc3","Oligodendrocyte Precursor Cell","Group enriched"
"Exosc3","Neuron","Group enriched"
"Exosc3","Newly Formed Oligodendrocyte","Group enriched"
"Sphk1","Microglia","Tissue enriched"
"Zfhx3","Microglia","Tissue enriched"
"Slbp","Endothelial Cells","Group enriched"
"Slbp","Neuron","Group enriched"
"Slbp","Oligodendrocyte Precursor Cell","Group enriched"
"Slbp","Astrocytes","Group enriched"
"Slbp","Microglia","Group enriched"
"Slbp","Newly Formed Oligodendrocyte","Group enriched"
"Plp1","Myelinating Oligodendrocytes","Group enriched"
"Plp1","Newly Formed Oligodendrocyte","Group enriched"
"Capn1","Microglia","Group enriched"
"Capn1","Endothelial Cells","Group enriched"
"Capn1","Neuron","Group enriched"
"Capn1","Astrocytes","Group enriched"
"Hpgd","Microglia","Group enriched"
"Hpgd","Oligodendrocyte Precursor Cell","Group enriched"
"Nup153","Astrocytes","Group enriched"
"Nup153","Neuron","Group enriched"
"Nup153","Oligodendrocyte Precursor Cell","Group enriched"
"Nup153","Endothelial Cells","Group enriched"
"Nup153","Newly Formed Oligodendrocyte","Group enriched"
"Nup153","Microglia","Group enriched"
"Spp1","Microglia","Tissue enriched"
"Jam2","Astrocytes","Group enriched"
"Jam2","Oligodendrocyte Precursor Cell","Group enriched"
"Jam2","Endothelial Cells","Group enriched"
"Jam2","Newly Formed Oligodendrocyte","Group enriched"
"Akap8","Astrocytes","Group enriched"
"Akap8","Neuron","Group enriched"
"Akap8","Oligodendrocyte Precursor Cell","Group enriched"
"Akap8","Endothelial Cells","Group enriched"
"Akap8","Newly Formed Oligodendrocyte","Group enriched"
"Akap8","Microglia","Group enriched"
"Lgi4","Astrocytes","Group enriched"
"Lgi4","Microglia","Group enriched"
"Ankrd13b","Neuron","Group enriched"
"Ankrd13b","Myelinating Oligodendrocytes","Group enriched"
"Ankrd13b","Newly Formed Oligodendrocyte","Group enriched"
"Ankrd13b","Astrocytes","Group enriched"
"Ankrd13b","Oligodendrocyte Precursor Cell","Group enriched"
"Ankrd13b","Microglia","Group enriched"
"H2-DMb2","Microglia","Tissue enriched"
"Ifi27l2a","Microglia","Tissue enriched"
"Sfxn5","Astrocytes","Tissue enriched"
"Asap1","Oligodendrocyte Precursor Cell","Group enriched"
"Asap1","Neuron","Group enriched"
"Asap1","Endothelial Cells","Group enriched"
"Asap1","Astrocytes","Group enriched"
"Asap1","Microglia","Group enriched"
"Asap1","Newly Formed Oligodendrocyte","Group enriched"
"Tes","Endothelial Cells","Tissue enriched"
"H2-Q10","Microglia","Tissue enriched"
"Nop14","Astrocytes","Group enriched"
"Nop14","Neuron","Group enriched"
"Nop14","Microglia","Group enriched"
"Nop14","Endothelial Cells","Group enriched"
"Nop14","Oligodendrocyte Precursor Cell","Group enriched"
"Nop14","Newly Formed Oligodendrocyte","Group enriched"
"Camk2b","Neuron","Group enriched"
"Camk2b","Oligodendrocyte Precursor Cell","Group enriched"
"Pdlim2","Myelinating Oligodendrocytes","Group enriched"
"Pdlim2","Newly Formed Oligodendrocyte","Group enriched"
"Rbm47","Microglia","Tissue enriched"
"Tfpi","Endothelial Cells","Tissue enriched"
"Pkp4","Myelinating Oligodendrocytes","Group enriched"
"Pkp4","Newly Formed Oligodendrocyte","Group enriched"
"Pkp4","Endothelial Cells","Group enriched"
"Pkp4","Neuron","Group enriched"
"Jph4","Neuron","Tissue enriched"
"Aff1","Astrocytes","Group enriched"
"Aff1","Endothelial Cells","Group enriched"
"Aff1","Microglia","Group enriched"
"Aff1","Oligodendrocyte Precursor Cell","Group enriched"
"Zfp579","Newly Formed Oligodendrocyte","Group enriched"
"Zfp579","Myelinating Oligodendrocytes","Group enriched"
"Zfp579","Oligodendrocyte Precursor Cell","Group enriched"
"Zfp579","Neuron","Group enriched"
"Zfp579","Astrocytes","Group enriched"
"Zfp579","Microglia","Group enriched"
"Pitpnc1","Astrocytes","Group enriched"
"Pitpnc1","Oligodendrocyte Precursor Cell","Group enriched"
"Pitpnc1","Endothelial Cells","Group enriched"
"Pitpnc1","Neuron","Group enriched"
"Pitpnc1","Microglia","Group enriched"
"Camp","Microglia","Tissue enriched"
"Plcd1","Astrocytes","Group enriched"
"Plcd1","Microglia","Group enriched"
"Plcd1","Oligodendrocyte Precursor Cell","Group enriched"
"Plcd1","Neuron","Group enriched"
"Plcd1","Newly Formed Oligodendrocyte","Group enriched"
"Cd209g","Microglia","Tissue enriched"
"Plekhb1","Myelinating Oligodendrocytes","Group enriched"
"Plekhb1","Newly Formed Oligodendrocyte","Group enriched"
"Arhgef3","Endothelial Cells","Group enriched"
"Arhgef3","Oligodendrocyte Precursor Cell","Group enriched"
"Arhgef3","Microglia","Group enriched"
"Arhgef3","Astrocytes","Group enriched"
"Arhgef3","Newly Formed Oligodendrocyte","Group enriched"
"Arhgef3","Neuron","Group enriched"
"Cyp51","Myelinating Oligodendrocytes","Group enriched"
"Cyp51","Newly Formed Oligodendrocyte","Group enriched"
"Cyp51","Astrocytes","Group enriched"
"Cyp51","Oligodendrocyte Precursor Cell","Group enriched"
"Cyp51","Neuron","Group enriched"
"Atad1","Astrocytes","Group enriched"
"Atad1","Oligodendrocyte Precursor Cell","Group enriched"
"Atad1","Newly Formed Oligodendrocyte","Group enriched"
"Atad1","Neuron","Group enriched"
"Atad1","Endothelial Cells","Group enriched"
"Atad1","Myelinating Oligodendrocytes","Group enriched"
"Ssb","Endothelial Cells","Group enriched"
"Ssb","Neuron","Group enriched"
"Ssb","Oligodendrocyte Precursor Cell","Group enriched"
"Ssb","Astrocytes","Group enriched"
"Ssb","Newly Formed Oligodendrocyte","Group enriched"
"Camkk1","Neuron","Group enriched"
"Camkk1","Microglia","Group enriched"
"Camkk1","Oligodendrocyte Precursor Cell","Group enriched"
"Camkk1","Astrocytes","Group enriched"
"Camkk1","Newly Formed Oligodendrocyte","Group enriched"
